,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
75,Toy Story,1995,1h 21m,G,John Lasseter,"Tom Hanks , Woody(voice) , Tim Allen , Buzz Lightyear(voice) , Don Rickles , Mr. Potato Head(voice) , Jim Varney , Slinky Dog(voice) , Wallace Shawn , Rex(voice) , John Ratzenberger , Hamm(voice) , Annie Potts , Bo Peep(voice) , John Morris , Andy(voice) , Erik von Detten , Sid(voice) , Laurie Metcalf , Mrs. Davis(voice) , R. Lee Ermey , Sergeant(voice) , Sarah Rayne , Hannah(voice)(as Sarah Freeman) , Penn Jillette , TV Announcer(voice) , Jack Angel , Shark(voice)… , Spencer Aste , Wounded Soldier(voice) , Greg Berg , Local Announcer(voice) , Lisa Bradley , Kid(voice) , Kendall Cunningham , Kid(voice)",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,76,8.3,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
76,Braveheart,1995,2h 58m,R,Mel Gibson,"Mel Gibson , William Wallace , Sophie Marceau , Princess Isabelle , Patrick McGoohan , Longshanks - King Edward I , Angus Macfadyen , Robert the Bruce(as Angus McFadyen) , James Robinson , Young William , Sean Lawlor , Malcolm Wallace , Sandy Nelson , John Wallace , James Cosmo , Campbell , Sean McGinley , MacClannough , Alan Tall , Elder Stewart , Andrew Weir , Young Hamish , Gerda Stevenson , Mother MacClannough , Ralph Riach , Priest No. 1 , Mhairi Calvey , Young Murron , Brian Cox , Argyle Wallace , Peter Hanly , Prince Edward , Stephen Billington , Phillip , Barry McGovern , King's Advisor",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,77,8.3,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR0,0,190,281_.jpg"
77,Das Boot,1981,2h 29m,Not Rated,Wolfgang Petersen,"Jürgen Prochnow , Capt.-Lt. Henrich Lehmann-Willenbrock - Der Alte , Herbert Grönemeyer , Lt. Werner - Correspondent , Klaus Wennemann , Chief Engineer Fritz Grade - Der Leitende-Der LI , Hubertus Bengsch , 1st Lieutenant - Number One-1WO , Martin Semmelrogge , 2nd Lieutenant - 2WO , Bernd Tauber , Kriechbaum - Chief Quartermaster-Navigator , Erwin Leder , Johann , Martin May , Ullman , Heinz Hoenig , Hinrich(as Heinz Hönig) , Uwe Ochsenknecht , Chief Bosun , Claude-Oliver Rudolph , Ario , Jan Fedder , Pilgrim , Ralf Richter , Frenssen(as Ralph Richter) , Joachim Bernhard , Preacher , Oliver Stritzel , Schwalle , Konrad Becker , Bockstiegel , Lutz Schnell , Dufte , Martin Hemme , Brückenwilli",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,78,8.4,"https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
78,Avengers: Endgame,2019,3h 1m,PG-13,Anthony Russo,"Robert Downey Jr. , Tony Stark… , Chris Evans , Steve Rogers… , Mark Ruffalo , Bruce Banner… , Chris Hemsworth , Thor , Scarlett Johansson , Natasha Romanoff… , Jeremy Renner , Clint Barton… , Don Cheadle , James Rhodes… , Paul Rudd , Scott Lang… , Benedict Cumberbatch , Doctor Strange , Chadwick Boseman , T'Challa… , Brie Larson , Carol Danvers… , Tom Holland , Peter Parker… , Karen Gillan , Nebula , Zoe Saldana , Gamora , Evangeline Lilly , Hope Van Dyne… , Tessa Thompson , Valkyrie , Rene Russo , Frigga , Elizabeth Olsen , Wanda Maximoff…","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",79,8.4,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
79,Joker,2019,2h 2m,R,Todd Phillips,"Joaquin Phoenix , Arthur Fleck , Robert De Niro , Murray Franklin , Zazie Beetz , Sophie Dumond , Frances Conroy , Penny Fleck , Brett Cullen , Thomas Wayne , Shea Whigham , Detective Burke , Bill Camp , Detective Garrity , Glenn Fleshler , Randall , Leigh Gill , Gary , Josh Pais , Hoyt Vaughn , Rocco Luna , GiGi Dumond , Marc Maron , Gene Ufland , Sondra James , Dr. Sally , Murphy Guyer , Barry O'Donnell , Douglas Hodge , Alfred Pennyworth , Dante Pereira-Olson , Bruce Wayne , Carrie Louise Putrello , Martha Wayne , Sharon Washington , Social Worker","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",80,8.4,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
80,Princess Mononoke,1997,2h 14m,PG-13,Hayao Miyazaki,"Yôji Matsuda , Ashitaka(voice) , Yuriko Ishida , San(voice)… , Yûko Tanaka , Eboshi-gozen(voice) , Billy Crudup , Ashitaka(English version)(voice) , Billy Bob Thornton , Jigo(English version)(voice) , Minnie Driver , Lady Eboshi(English version)(voice) , John DiMaggio , Gonza(English version)(voice)… , Claire Danes , San(English version)(voice) , John DeMita , Kohroku(English version)(voice) , Jada Pinkett Smith , Toki(English version)(voice) , Gillian Anderson , Moro(English version)(voice) , Keith David , Okkoto(English version)(voice)… , Corey Burton , Additional Voices(English version)(voice) , Tara Strong , Kaya(English version)(voice)(as Tara Charandoff) , Julia Fletcher , Additional Voices(English version)(voice) , Debi Derryberry , Hii-sama(English version)(voice)… , Alex Fernandez , Additional Voices(English version)(voice) , Jack Fletcher , Additional Voices(English version)(voice)","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",81,8.3,"https://m.media-amazon.com/images/M/MV5BNTZkYmI0MmEtNGFlZC00OWZjLWFjMmItMjk1OWZkOWJiZGVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
81,Good Will Hunting,1997,2h 6m,R,Gus Van Sant,"Robin Williams , Sean , Matt Damon , Will , Ben Affleck , Chuckie , Stellan Skarsgård , Lambeau , John Mighton , Tom , Rachel Majorowski , Krystyn , Colleen McCauley , Cathy , Casey Affleck , Morgan , Cole Hauser , Billy , Matt Mercier , Barbershop Quartet #1 , Ralph St. George , Barbershop Quartet #2 , Rob Lynds , Barbershop Quartet #3 , Dan Washington , Barbershop Quartet #4 , Alison Folland , M.I.T. Student , Derrick Bridgeman , M.I.T. Student , Vik Sahay , M.I.T. Student(as Vic Sahay) , Shannon Egleson , Girl on Street , Rob Lyons , Carmine Scarpaglia","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",82,8.3,"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,4,190,281_.jpg"
82,Your Name.,2016,1h 46m,TV-PG,Makoto Shinkai,"Ryunosuke Kamiki , Taki Tachibana(voice)(as Ryûnosuke Kamiki) , Mone Kamishiraishi , Mitsuha Miyamizu(voice) , Ryo Narita , Katsuhiko Teshigawara(voice)(as Ryô Narita) , Aoi Yûki , Sayaka Natori(voice) , Nobunaga Shimazaki , Tsukasa Fujii(voice) , Kaito Ishikawa , Shinta Takagi(voice) , Kanon Tani , Yotsuha Miyamizu(voice) , Masaki Terasoma , Toshiki Miyamizu(voice) , Sayaka Ôhara , Futaha Miyamizu(voice) , Kazuhiko Inoue , Taki's Father(voice) , Chafûrin , Teshigawara's Father(voice) , Kana Hanazawa , Teacher(voice) , Yuka Terasaki , Takashi Onozuka , Yôhei Namekawa , Miyu Tsuji , Shin'ya Hamazoe , Tanaka(voice) , Kanami Satô","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",83,8.4,"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_QL75_UX190_CR0,0,190,281_.jpg"
83,Once Upon a Time in America,1984,3h 49m,R,Sergio Leone,"Robert De Niro , Noodles , James Woods , Max , Elizabeth McGovern , Deborah , Treat Williams , Jimmy O'Donnell , Tuesday Weld , Carol , Burt Young , Joe , Joe Pesci , Frankie , Danny Aiello , Police Chief Aiello , William Forsythe , Cockeye , James Hayden , Patsy , Darlanne Fluegel , Eve(as Darlanne Fleugel) , Larry Rapp , Fat Moe , Dutch Miller , Van Linden , Robert Harper , Sharkey , Richard Bright , Chicken Joe , Gerard Murphy , Crowning , Amy Ryder , Peggy , Olga Karlatos , Woman in the Puppet Theatre","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",84,8.3,"https://m.media-amazon.com/images/M/MV5BMmQzZjdmZDAtOGE2Yy00MmUwLTljYzgtZTMwMjk3ZDdiOWUyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
84,3 Idiots,2009,2h 50m,PG-13,Rajkumar Hirani,"Aamir Khan , Rancho , Madhavan , Farhan(as R. Madhavan) , Mona Singh , Mona , Sharman Joshi , Raju , Kareena Kapoor , Pia , Boman Irani , Viru Sahastrabudhhe , Omi Vaidya , Chatur , Jaaved Jaaferi , Ranchoddas Chanchad(as Javed Jaffrey) , Parikshit Sahni , Farhan's Father(as Pareekshit Sahani) , Olivier Lafont , Suhas(as Sanjay Lafont) , Rahul Kumar , Millimeter , Amardeep Jha , Raju's Mother , Farida Dadi , Farhan's Mother , Mukund Bhatt , Raju's Father , Chaitali Bose , Raju's Sister , Jayant Kripalani , Campus Interview Panel Head(as Jayant Kriplani) , Arun Bali , Shamaldas Chanchad(as Aron Baali) , Shoaib Ahmed , Chhote","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",85,8.4,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR3,0,190,281_.jpg"
85,High and Low,1963,2h 23m,Not Rated,Akira Kurosawa,"Toshirô Mifune , Kingo Gondo , Yutaka Sada , Aoki - the Chauffeur , Tatsuya Nakadai , Chief Detective Tokura , Kyôko Kagawa , Reiko Gondo , Tatsuya Mihashi , Kawanishi - Gondo's Secretary , Isao Kimura , Detective Arai , Kenjirô Ishiyama , Chief Detective 'Bos'n' Taguchi , Takeshi Katô , Detective Nakao , Takashi Shimura , Chief of Investigation Section , Jun Tazaki , Kamiya, National Shoes Publicity Director , Nobuo Nakamura , Ishimaru, National Shoes Design Department Director , Yûnosuke Itô , Baba - National Shoes Executive , Tsutomu Yamazaki , Ginjirô Takeuchi - Medical Intern , Minoru Chiaki , First Reporter , Eijirô Tôno , Factory Worker , Masao Shimizu , Prison Warden , Masahiko Shimazu , Shinichi Aoki , Toshio Egi , Jun Gondo",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,86,8.4,"https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
86,Singin' in the Rain,1952,1h 43m,G,Stanley Donen,"Gene Kelly , Don Lockwood , Donald O'Connor , Cosmo Brown , Debbie Reynolds , Kathy Selden , Jean Hagen , Lina Lamont , Millard Mitchell , R.F. Simpson , Cyd Charisse , Dancer , Douglas Fowley , Roscoe Dexter , Rita Moreno , Zelda Zanders , Dawn Addams , Teresa - a Lady-in-Waiting(uncredited) , John Albright , Call Boy(uncredited) , Betty Allen , Chorus Girl(uncredited) , Sue Allen , Chorus Girl(uncredited) , John Angelo , Dancer(uncredited) , Marie Ardell , Chorus Girl(uncredited) , Bette Arlen , 'Miss January' in 'Beautiful Girl' segment , David Bair , Chorus Boy(uncredited) , Jimmy Bates , Boy(uncredited) , Mary Bayless , Audience Member(uncredited)",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,87,8.3,"https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
87,Capernaum,2018,2h 6m,R,Nadine Labaki,"Zain Al Rafeea , Zain , Yordanos Shiferaw , Rahil , Boluwatife Treasure Bankole , Yonas , Kawsar Al Haddad , Souad , Fadi Yousef , Selim(as Fadi Kamel Yousef) , Cedra Izzam , Sahar, the Sister , Alaa Chouchnieh , Aspro , Elias Khoury , The Judge , Mohammad Al Abdallah , Salah , Mohamad Abdellatif , Street Kid , Abdo Abdo , Notary , Hampig Abraham , Street Kid , Jamil Ahmad , Street Kid , Mohamad Akkar , Kid , Elias Akobegia , Employer Snack Falafel , Riman Al Rafeea , Zain's Sister , Legamett Alamou , Prisoner Detention Center , Majd Nabil Alhalabi , Street Kid","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",88,8.4,"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
88,Requiem for a Dream,2000,1h 42m,Unrated,Darren Aronofsky,"Ellen Burstyn , Sara Goldfarb , Jared Leto , Harry Goldfarb , Jennifer Connelly , Marion Silver , Marlon Wayans , Tyrone C. Love , Christopher McDonald , Tappy Tibbons , Louise Lasser , Ada , Marcia Jean Kurtz , Rae , Janet Sarno , Mrs. Pearlman , Suzanne Shepherd , Mrs. Scarlini , Joanne Gordon , Mrs. Ovadia , Charlotte Aronofsky , Mrs. Miles , Mark Margolis , Mr. Rabinowitz , Michael Kaycheck , Donut Cop(as Mike Kaycheck) , Jack O'Connell , Corn Dog Stand Boss , Chas Mastin , Lyle Russel , Ajay Naidu , Mailman , Sean Gullette , Arnold The Shrink , Samia Shoaib , Nurse Mall",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,89,8.3,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
89,Toy Story 3,2010,1h 43m,G,Lee Unkrich,"Tom Hanks , Woody(voice) , Tim Allen , Buzz Lightyear(voice) , Joan Cusack , Jessie(voice) , Ned Beatty , Lotso(voice) , Don Rickles , Mr. Potato Head(voice) , Michael Keaton , Ken(voice) , Wallace Shawn , Rex(voice) , John Ratzenberger , Hamm(voice) , Estelle Harris , Mrs. Potato Head(voice) , John Morris , Andy(voice) , Jodi Benson , Barbie(voice) , Emily Ricks Hahn , Bonnie(voice)(as Emily Hahn) , Laurie Metcalf , Andy's Mom(voice) , Blake Clark , Slinky Dog(voice) , Teddy Newton , Chatter Telephone(voice) , Bud Luckey , Chuckles(voice) , Bea Miller , Molly(voice)(as Beatrice Miller) , Javier Fernández-Peña , Spanish Buzz(voice)","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",90,8.3,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
90,Come and See,1985,2h 22m,Not Rated,Elem Klimov,"Aleksey Kravchenko , Flyora Gayshun , Olga Mironova , Glasha , Liubomiras Laucevicius , Kosach(as L. Lautsyavichius) , Vladas Bagdonas , Rubezh , Jüri Lumiste , Obersturmführer , Viktors Lorencs , Sturmbannführer(as V. Lorents) , Kazimir Rabetsky , Village Headman , Evgeniy Tilicheev , Gezhel , G. Velts , German , V. Vasilyev , Aleksandr Berda , Chief of Staff of the Partisan Detachment , Vasiliy Domrachyov , Little Policeman , Nina Evdokimova , Mother , Igor Gnevashev , Adolf Hitler , Self(archive footage) , Valery Kravchenko , Kosach(voice) , Evgeniy Kryzhanovskiy , Partisan with glasses , N. Lisichenok","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",91,8.4,"https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,5,190,281_.jpg"
91,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,Richard Marquand,"Mark Hamill , Luke Skywalker , Harrison Ford , Han Solo , Carrie Fisher , Princess Leia , Billy Dee Williams , Lando Calrissian , Anthony Daniels , C-3PO , Peter Mayhew , Chewbacca , Sebastian Shaw , Anakin Skywalker , Ian McDiarmid , The Emperor , Frank Oz , Yoda(voice) , James Earl Jones , Darth Vader(voice) , David Prowse , Darth Vader , Alec Guinness , Ben 'Obi-Wan' Kenobi , Kenny Baker , R2-D2… , Michael Pennington , Moff Jerjerrod , Kenneth Colley , Admiral Piett , Michael Carter , Bib Fortuna , Denis Lawson , Wedge , Tim Rose , Admiral Ackbar","After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",92,8.3,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,7,190,281_.jpg"
92,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,Michel Gondry,"Jim Carrey , Joel Barish , Kate Winslet , Clementine Kruczynski , Tom Wilkinson , Dr. Mierzwiak , Gerry Robert Byrne , Train Conductor , Elijah Wood , Patrick , Thomas Jay Ryan , Frank , Mark Ruffalo , Stan , Jane Adams , Carrie , David Cross , Rob , Kirsten Dunst , Mary , Ryan Whitney , Young Joel , Debbon Ayer , Joel's Mother , Amir Ali Said , Young Bully , Brian Price , Young Bully , Paulie Litt , Young Bully(as Paul Litowski) , Josh Flitter , Young Bully , Lola Daehler , Young Clementine , Deirdre O'Connell , Hollis","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",93,8.3,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
93,2001: A Space Odyssey,1968,2h 29m,G,Stanley Kubrick,"Keir Dullea , Dr. Dave Bowman , Gary Lockwood , Dr. Frank Poole , William Sylvester , Dr. Heywood R. Floyd , Daniel Richter , Moon-Watcher , Leonard Rossiter , Dr. Andrei Smyslov , Margaret Tyzack , Elena , Robert Beatty , Dr. Ralph Halvorsen , Sean Sullivan , Dr. Bill Michaels , Douglas Rain , HAL 9000(voice) , Frank Miller , Mission Controller(voice) , Bill Weston , Astronaut , Ed Bishop , Aries-1B Lunar Shuttle Captain(as Edward Bishop) , Glenn Beck , Astronaut , Alan Gifford , Poole's Father , Ann Gillis , Poole's Mother , Edwina Carroll , Aries-1B Stewardess , Penny Brahms , Stewardess , Heather Downham , Stewardess","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",94,8.3,"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
94,The Hunt,2012,1h 55m,R,Thomas Vinterberg,"Mads Mikkelsen , Lucas , Thomas Bo Larsen , Theo , Annika Wedderkopp , Klara , Lasse Fogelstrøm , Marcus , Susse Wold , Grethe , Anne Louise Hassing , Agnes , Lars Ranthe , Bruun , Alexandra Rapaport , Nadja , Sebastian Bull , Torsten(as Sebastian Bull Sarning) , Steen Ordell Guldbrand Jensen , Jagtbroder - Lars T(as Steen Ordell Guldbrandsen) , Daniel Engstrup , Jagtbroder - Johan , Troels Thorsen , Jagtbroder - Bent , Søren Rønholt , Jagtbroder - Store Carsten , Hana Shuan , Jagtbroder - Lille , Jytte Kvinesdal , Inger , Josefine Gråbøl , Pædagogmedhjælper , Bjarne Henriksen , Ole , Nicolai Dahl Hamilton , Butiksbestyrer i supermarkedet","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",95,8.3,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
95,Reservoir Dogs,1992,1h 39m,R,Quentin Tarantino,"Harvey Keitel , Mr. White… , Tim Roth , Mr. Orange… , Michael Madsen , Mr. Blonde… , Chris Penn , Nice Guy Eddie , Steve Buscemi , Mr. Pink , Lawrence Tierney , Joe Cabot , Randy Brooks , Holdaway , Kirk Baltz , Marvin Nash , Edward Bunker , Mr. Blue(as Eddie Bunker) , Quentin Tarantino , Mr. Brown , Rich Turner , Sheriff #1 , David Steen , Sheriff #2 , Tony Cosmo , Sheriff #3 , Stevo Polyi , Sheriff #4(as Stevo Poliy) , Michael Sottile , Teddy , Robert Ruth , Shot Cop , Lawrence Bender , Young Cop… , Linda Kaye , Shocked Woman","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",96,8.3,"https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
